                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.783,                  4.413,                  1.074,                0.00312,                0.93651,                0.00789,                0.00458,                 1.1122,                 4.1306,                0.95396,             0.00064815,             0.00064815,             0.00064815
                      2,                 1.5128,                 2.4587,                 1.0383,                0.00307,                0.92063,                0.00509,                0.00284,                 1.1956,                 4.0584,                 0.9845,              0.0012497,              0.0012497,              0.0012497
                      3,                 1.4432,                  1.857,                 1.0208,                0.00333,                      1,                0.41343,                 0.2592,                 1.1542,                 3.1688,                 0.9869,              0.0017853,              0.0017853,              0.0017853
                      4,                  1.427,                 1.6545,                 1.0033,                0.98137,                0.83617,                0.98102,                0.66361,                 1.1119,                 1.9381,                 1.0231,               0.001703,               0.001703,               0.001703
                      5,                  1.365,                 1.3499,                0.99143,                0.96673,                0.95238,                0.98649,                0.66492,                 1.1169,                 1.0941,                 1.0067,               0.001604,               0.001604,               0.001604
                      6,                 1.2856,                   1.25,                 0.9914,                0.96314,                0.93651,                0.98962,                0.65875,                 1.1217,                0.96191,                 1.0055,               0.001505,               0.001505,               0.001505
                      7,                 1.1487,                 1.1049,                0.95877,                      1,                0.99587,                  0.995,                0.70847,                  1.019,                 0.7106,                0.96063,               0.001406,               0.001406,               0.001406
                      8,                 1.1902,                0.99931,                0.94383,                0.95062,                0.98413,                0.98507,                0.73973,                0.92219,                0.67577,                0.95561,               0.001307,               0.001307,               0.001307
                      9,                 1.1354,                 0.9597,                 0.9579,                0.95177,                      1,                0.99361,                0.74622,                0.90831,                0.61143,                0.94447,               0.001208,               0.001208,               0.001208
                     10,                 1.1789,                0.88838,                0.92777,                0.97756,                0.98413,                0.99365,                0.74782,                0.95496,                0.63605,                0.95123,               0.001109,               0.001109,               0.001109
                     11,                0.98859,                0.84408,                0.92213,                0.99548,                0.98413,                0.99484,                0.74956,                0.89969,                0.61894,                0.93088,                0.00101,                0.00101,                0.00101
                     12,                0.92063,                0.79174,                 0.9216,                0.99242,                0.98413,                0.99469,                0.78655,                0.81517,                0.55426,                0.91831,               0.000911,               0.000911,               0.000911
                     13,                0.87592,                0.77032,                0.93081,                0.99882,                      1,                  0.995,                 0.8187,                0.71954,                0.48465,                  0.891,               0.000812,               0.000812,               0.000812
                     14,                 0.8686,                0.71088,                0.90761,                      1,                0.99894,                  0.995,                0.81517,                0.73087,                0.54569,                0.90171,               0.000713,               0.000713,               0.000713
                     15,                0.84837,                0.65719,                0.88797,                0.97838,                0.98413,                0.99393,                0.81955,                0.71877,                0.50293,                0.88838,               0.000614,               0.000614,               0.000614
                     16,                0.80735,                0.65528,                0.89154,                0.99931,                      1,                  0.995,                0.81174,                0.71509,                0.48092,                0.88053,               0.000515,               0.000515,               0.000515
                     17,                0.82344,                0.62157,                0.88142,                0.99885,                      1,                  0.995,                0.83214,                0.70382,                0.47836,                0.88032,               0.000416,               0.000416,               0.000416
                     18,                0.79704,                 0.5693,                0.85583,                0.99774,                      1,                  0.995,                0.82432,                0.64261,                0.45472,                0.87175,               0.000317,               0.000317,               0.000317
                     19,                0.71761,                0.55958,                0.86614,                0.99748,                      1,                  0.995,                 0.8518,                0.63616,                0.43892,                0.87162,               0.000218,               0.000218,               0.000218
                     20,                0.71743,                0.55319,                0.85938,                0.99183,                      1,                  0.995,                0.84456,                0.63937,                0.44224,                0.86483,               0.000119,               0.000119,               0.000119
